Filename	Artist	Album	Year	Trackno	Title
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Swan Hunter-04.flac	Big Big Train	English Electric: Full Power	2013	4	Swan Hunter
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\The First Rebreather-02.flac	Big Big Train	English Electric: Full Power	2013	2	The First Rebreather
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Uncle Jack-03.flac	Big Big Train	English Electric: Full Power	2013	3	Uncle Jack
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD1\Upton Heath-08.flac	Big Big Train	English Electric: Full Power	2013	8	Upton Heath
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Curator of Butterflies-09.flac	Big Big Train	English Electric: Full Power	2013	9	Curator of Butterflies
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\East Coast Racer-08.flac	Big Big Train	English Electric: Full Power	2013	8	East Coast Racer
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Judas Unrepentant-01.flac	Big Big Train	English Electric: Full Power	2013	1	Judas Unrepentant
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Keeper of Abbeys-06.flac	Big Big Train	English Electric: Full Power	2013	6	Keeper of Abbeys
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Leopards-05.flac	Big Big Train	English Electric: Full Power	2013	5	Leopards
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\The Lovers-04.flac	Big Big Train	English Electric: Full Power	2013	4	The Lovers
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\The Permanent Way-07.flac	Big Big Train	English Electric: Full Power	2013	7	The Permanent Way
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Winchester From St Giles’ Hill-03.flac	Big Big Train	English Electric: Full Power	2013	3	Winchester From St Giles’ Hill
c:\music\Big Big Train\English Electric- Full Power\Big Big Train-English Electric- Full Power\CD2\Worked Out-02.flac	Big Big Train	English Electric: Full Power	2013	2	Worked Out
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-Evening Star-01.flac	Big Big Train	The Underfall Yard	2009	1	Evening Star
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-Last Train-04.flac	Big Big Train	The Underfall Yard	2009	4	Last Train
